,trial_id,test_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.epochs,config.batch_size
67,6ae9bd52,0.6776866455078125,0.008111953735351562,True,,,2,17f08837092a48948a9823cf225532de,2020-11-19_23-42-38,1605829358,4502.206612110138,94368,thetagpu14,140.221.68.24,4502.206612110138,0,2,"8_batch_size=2,epochs=50,learning_rate=0.049832",0.049831856490383034,50,2
68,6aeb3b46,0.6776866463478655,0.007951974868774414,True,,,2,8a72f88cb06c45708e397cde6d2dee3f,2020-11-19_23-01-16,1605826876,1290.8888173103333,94477,thetagpu14,140.221.68.24,1290.8888173103333,0,2,"9_batch_size=25,epochs=21,learning_rate=0.066492",0.06649220842682674,21,25
69,1da8129e,0.67777210997639,0.008854866027832031,True,,,2,dc852eb6297848848ef75bb22eade169,2020-11-19_23-52-48,1605829968,3714.252397298813,94359,thetagpu14,140.221.68.24,3714.252397298813,0,2,"10_batch_size=14,epochs=59,learning_rate=0.055045",0.055045112409748014,59,14
70,638a0d9e,0.6783976094769453,0.01094651222229004,True,,,2,6fd8a9e189164f4695c61a35e5280a3e,2020-11-20_00-12-50,1605831170,1173.0546271800995,153928,thetagpu14,140.221.68.24,1173.0546271800995,0,2,"1_batch_size=15,epochs=24,learning_rate=0.015442",0.015441851723084012,24,15
71,63932442,0.7041021829614272,0.007042884826660156,True,,,2,ba316a84d3e44b0e8ba727af897e859b,2020-11-20_00-47-35,1605833255,3258.4850420951843,153902,thetagpu14,140.221.68.24,3258.4850420951843,0,2,"2_batch_size=31,epochs=56,learning_rate=0.059425",0.059424586430089535,56,31
72,6394e8a4,0.6822544818769122,0.008001327514648438,True,,,2,8ec1c445524d4b03a0ccb1258111bd06,2020-11-20_00-37-41,1605832661,2664.496574640274,153888,thetagpu14,140.221.68.24,2664.496574640274,0,2,"3_batch_size=9,epochs=49,learning_rate=0.0092797",0.009279664989001448,49,9
73,63969122,0.7198576621033929,0.008929967880249023,True,,,2,75509d48d9894646a83223f059795acb,2020-11-20_00-19-55,1605831595,1598.138587474823,153887,thetagpu14,140.221.68.24,1598.138587474823,0,2,"4_batch_size=37,epochs=28,learning_rate=0.019859",0.019859212325882312,28,37
74,63982528,0.6778294065905331,0.008716106414794922,True,,,2,f020f8f9dd5041f2acba328315808bc1,2020-11-20_00-44-27,1605833067,3070.2881846427917,153855,thetagpu14,140.221.68.24,3070.2881846427917,0,2,"5_batch_size=7,epochs=52,learning_rate=0.015191",0.015190953612399897,52,7
75,6399d152,0.6999414825439453,0.00818181037902832,True,,,2,e5de3d2aea2743898197fe6cfc287dca,2020-11-20_00-46-30,1605833190,3192.713857650757,153913,thetagpu14,140.221.68.24,3192.713857650757,0,2,"6_batch_size=8,epochs=57,learning_rate=0.029285",0.029284998230717226,57,8
76,639b6d8c,0.6776866472139954,0.010373830795288086,True,,,2,7cab5375f986490a832c75d37aa1b14a,2020-11-20_00-42-51,1605832971,2974.0090634822845,153865,thetagpu14,140.221.68.24,2974.0090634822845,0,2,"7_batch_size=20,epochs=54,learning_rate=0.043345",0.043345482245112685,54,20
77,639d057a,0.6778477212730174,0.009409427642822266,True,,,2,ecfba223e4184a6e8f7e4de3417386ce,2020-11-20_00-52-40,1605833560,3562.863455533981,153849,thetagpu14,140.221.68.24,3562.863455533981,0,2,"8_batch_size=3,epochs=47,learning_rate=0.027999",0.027999308229173053,47,3
78,639f3a34,0.7224349449597188,0.009800195693969728,True,,,2,05c78a60626b4a1c8837ed75bc49301b,2020-11-20_01-04-03,1605834243,3070.8968806266785,153822,thetagpu14,140.221.68.24,3070.8968806266785,0,2,"9_batch_size=30,epochs=54,learning_rate=0.0051171",0.005117073374563352,54,30
79,204f24bc,0.6832301166924564,0.008005619049072266,True,,,2,01d3d9b781c84e848e8b750c709a272b,2020-11-20_00-33-34,1605832414,816.7866339683533,153904,thetagpu14,140.221.68.24,816.7866339683533,0,2,"10_batch_size=37,epochs=14,learning_rate=0.03822",0.03821979057833443,14,37
